"","subitem","subject.x","item.x","list","exp","integrated","related.x","n2num.x","text","X","X.1","X.2","X.3","X.4","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Ass..H.L","Ass..L.HP","Ass..L.HS","AssArc.H.L","AssArc.L.HP","AssArc.L.HS","Plausibility","maincode","dysfluency","subject.y","item.y","transciption"
"32","21-8",21,8,5,"SemRel","integ","unrel","sing","The","fortress","with","the","ancient","farm","I",8,4,7,4,7,3,6,3,2,1,2,1,3.37,5044.84,21.61,29.76,0.64,3.7,1.35,1.49,2,2.17,2.83,0,0,0,0,0,0,3.75,"C","",21,8,"the fortress with the ancient farm was very fancy"
"33","21-9",21,9,5,"SemRel","integ","unrel","sing","The","butler","for","the","spoiled","kid","A",6,3,7,3,6,3,5,3,2,1,2,1,6.8,6749.25,2.18,327.47,0.89,3.83,0.5,2.52,1.25,1.5,3.67,0,0,0,0,0,0,5.67,"C","",21,9,"the butler for the spoiled kid was very impatient"
"34","21-10",21,10,5,"SemRel","integ","rel","plur","The","vase","with","the","vibrant","flowers","I",4,4,7,7,3,3,7,6,1,1,2,2,3.84,5044.84,1.02,46.61,0.69,3.7,0.31,1.68,6.42,6.33,5.58,25,0,0,1.05,0,0,6.5,"C","",21,10,"the vase with the vibrant flowers was very colorful"
"35","21-11",21,11,5,"SemRel","integ","rel","plur","The","banana","for","the","popular","sundaes","I",6,3,7,7,6,3,8,6,3,1,3,2,10.61,6749.25,23.22,0.53,1.06,3.83,1.38,0.18,5.5,5,5.17,0,0,2.5,0,0,0.32,5,"C","",21,11,"the banana for the popular sundaes was yummy"
"36","21-12",21,12,5,"SemRel","integ","rel","plur","The","bodyguard","for","the","nervous","actresses","A",9,3,7,9,8,3,6,8,3,1,2,3,5.71,6749.25,67.04,2.25,0.83,3.83,1.83,0.51,3.92,5.42,4.83,0,0,0,0,0,0,5.67,"C","",21,12,"the bodyguard for the nervous actresses was very strong"
"37","21-13",21,13,5,"SemRel","integ","rel","sing","The","bicycle","with","the","warped","tire","I",7,4,6,4,8,3,4,4,3,1,1,1,6.55,5044.84,1.35,2.43,0.88,3.7,0.37,0.54,6.67,5.42,5.75,2.5,0,0,0.32,0,0,5.58,"C","",21,13,"the bicycle with the warped tire was broken"
"38","21-14",21,14,5,"SemRel","integ","rel","sing","The","caddy","for","the","charismatic","golfer","A",5,3,11,6,4,3,10,6,2,1,4,2,2.73,6749.25,0.8,1.1,0.57,3.83,0.26,0.32,6.92,6,6.42,0,0,5,0,0,0.45,5.58,"P","",21,14,"the caddy for the charismic(sic) golfer had brown hair"
"39","21-15",21,15,5,"SemRel","integ","rel","sing","The","church","with","the","giant","cross","I",6,4,5,5,6,3,5,4,1,1,2,1,68.73,5044.84,20.18,30.35,1.84,3.7,1.33,1.5,6.33,7,6.5,2.5,0,10,0.32,0,0.64,6.75,"C","",21,15,"the church with the giant cross was holding mass"
"40","21-16",21,16,5,"SemRel","unint","unrel","plur","The","eraser","near","the","novelty","pens","I",6,4,7,4,6,3,7,4,3,1,3,1,1,59.14,1.67,2.51,0.3,1.78,0.43,0.55,3.33,5.11,2.58,0,2.5,2.5,0,0.32,0.32,5,"C","",21,16,"the eraser near the novelty pens was red"
"41","21-17",21,17,5,"SemRel","unint","unrel","plur","The","waitress","by","the","impatient","seniors","A",8,2,9,7,6,2,8,6,2,1,3,2,9.67,1212.84,4.04,2.43,1.03,3.08,0.7,0.54,2.17,1.75,2.67,0,0,0,0,0,0,6.25,"C","",21,17,"the waitress by the impatient seniors was very frustrated"
