"","subitem","subject.x","item.x","list","exp","integrated","related.x","n2num.x","text","X","X.1","X.2","X.3","X.4","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Ass..H.L","Ass..L.HP","Ass..L.HS","AssArc.H.L","AssArc.L.HP","AssArc.L.HS","Plausibility","maincode","dysfluency","subject.y","item.y","transciption"
"356","151-20",151,20,7,"SemRel","integ","rel","sing","The","hydrant","with","the","bent","hose","I",7,4,5,4,8,3,4,3,2,1,1,1,1,5044.84,1.02,7.45,0.3,3.7,0.31,0.93,5.75,5.67,5.67,0,0,0,0,0,0,5.33,"U","",151,20,"the hydrant with the bent hose didn't work"
"357","151-21",151,21,7,"SemRel","integ","rel","sing","The","guitar","with","the","faulty","string","I",6,4,7,6,5,3,5,5,2,1,2,1,15.53,5044.84,1.63,10.18,1.22,3.7,0.42,1.05,6.67,6.5,6.17,0,0,12.5,0,0,0.72,6.08,"C","",151,21,"the guitar with the faulty string was unplayable"
"358","151-22",151,22,7,"SemRel","unint","unrel","plur","The","trainer","near","the","confident","actors","A",7,4,9,6,6,3,9,6,2,1,3,2,5.49,59.14,10.65,12.59,0.81,1.78,1.07,1.13,4.17,3.86,2.83,0,0,0,0,0,0,6.17,"C","",151,22,"the trainer near the confident actors was training"
"359","151-23",151,23,7,"SemRel","unint","unrel","plur","The","canoe","near","the","weathered","flags","I",5,4,9,5,4,3,5,5,2,1,2,1,3.53,59.14,0.18,3.41,0.66,1.78,0.07,0.64,1.58,1.67,2.33,0,0,0,0,0,0,4.67,"C","",151,23,"the canoe near the weathered flags was also weathered"
"360","151-24",151,24,7,"SemRel","unint","unrel","plur","The","camera","by","the","special","manuals","I",6,2,7,7,6,2,6,8,3,1,2,3,56.9,1212.84,148.2,0.61,1.76,3.08,2.17,0.21,3.92,4,2.92,0,0,0,0,0,0,5.5,"C","",151,24,"the camera by the special manuals was also broken"
"361","155-1",155,1,3,"SemRel","integ","unrel","sing","The","envelope","for","the","photo","album","I",8,3,5,5,7,3,4,5,3,1,2,2,10.04,6749.25,22.82,10.24,1.04,3.83,1.38,1.05,3.17,2.33,3.5,0,0,0,0,0,0,3.92,"C","",155,1,"the envelope for the photo album was ripped"
"362","155-2",155,2,3,"SemRel","integ","unrel","sing","The","cake","with","the","candy","figurine","I",4,4,5,8,3,3,5,8,1,1,2,3,44.84,5044.84,35.55,0.27,1.66,3.7,1.56,0.11,2.25,4,3.42,0,0,0,0,0,0,6.45,"C","",155,2,"the cake with the candy figurine was gross"
"363","155-3",155,3,3,"SemRel","integ","unrel","sing","The","hammer","for","the","rigid","peg","I",6,3,5,3,5,3,5,3,2,1,2,1,10.18,6749.25,1.86,34.51,1.05,3.83,0.46,1.55,5.08,4.83,4.92,0,0,2.5,0,0,0.32,4.92,"C","",155,3,"the hammer for the rigid peg was broken"
"364","155-4",155,4,3,"SemRel","integ","rel","plur","The","coach","for","the","disciplined","athletes","A",5,3,11,8,4,3,9,6,1,1,3,2,29.33,6749.25,0.98,3.08,1.48,3.83,0.3,0.61,6.64,6.58,6.58,0,0,2.5,0,0,0.32,6.67,"C","",155,4,"the coach for the disciplined athletes was strict"
"365","155-5",155,5,3,"SemRel","integ","rel","plur","The","tent","with","the","sturdy","poles","I",4,4,6,5,4,3,6,4,1,1,2,1,17.39,5044.84,1.69,2.18,1.26,3.7,0.43,0.5,5.55,5.5,6.17,0,0,2.5,0,0,0.32,5.92,"U","",155,5,"the tent with the sturdy poles collapsed"
"366","155-6",155,6,3,"SemRel","integ","rel","plur","The","dam","for","the","murky","rivers","I",3,3,5,6,3,3,5,6,1,1,2,2,5.29,6749.25,0.61,2.82,0.8,3.83,0.21,0.58,6,6.25,5.83,0,0,0,0,0,0,5.36,"C","",155,6,"the dam for the murky rivers was broken"
"367","155-7",155,7,3,"SemRel","integ","rel","sing","The","necklace","with","the","colorful","diamond","I",8,4,8,7,6,3,8,6,2,1,3,2,9.71,5044.84,3.14,19.73,1.03,3.7,0.62,1.32,5.92,6.17,6.58,10,0,2.5,0.64,0,0.32,6.67,"C","",155,7,"the necklace with the colorful diamond was expensive"
"368","155-8",155,8,3,"SemRel","integ","rel","sing","The","fortress","with","the","ancient","wall","I",8,4,7,4,7,3,6,3,2,1,2,1,3.37,5044.84,21.61,66.33,0.64,3.7,1.35,1.83,6,6.33,6.58,0,0,0,0,0,0,6,"U","",155,8,"the fortress with the ancient wall fell down"
"369","155-9",155,9,3,"SemRel","integ","rel","sing","The","butler","for","the","selfish","millionaire","A",6,3,7,11,6,3,6,9,2,1,2,3,6.8,6749.25,15.94,5.69,0.89,3.83,1.23,0.83,5.75,5.08,5.42,0,0,0,0,0,0,5.92,"C","",155,9,"the butler for the selfish millionaire was angry"
"370","155-10",155,10,3,"SemRel","unint","unrel","plur","The","vase","near","the","vibrant","covers","I",4,4,7,6,3,3,7,6,1,1,2,2,3.84,59.14,1.02,5.2,0.69,1.78,0.31,0.79,1.25,1.58,2,0,0,0,0,0,0,4.33,"C","",155,10,"the vase near the vibrant covers was black"
"371","155-11",155,11,3,"SemRel","unint","unrel","plur","The","banana","near","the","popular","sandwiches","I",6,4,7,10,6,3,8,9,3,1,3,3,10.61,59.14,23.22,9.61,1.06,1.78,1.38,1.03,3.38,4.92,2.42,0,0,0,0,0,0,4.25,"C","",155,11,"the banana near the popular sandwiches was rotten"
"372","155-12",155,12,3,"SemRel","unint","unrel","plur","The","bodyguard","near","the","nervous","jewelers","A",9,4,7,8,8,3,6,8,3,1,2,3,5.71,59.14,67.04,0.43,0.83,1.78,1.83,0.16,2.42,3.33,2.09,0,0,0,0,0,0,4.58,"C","",155,12,"the bodyguard near the nervous jewelers was intimidating"
"373","155-13",155,13,3,"SemRel","unint","unrel","sing","The","bicycle","by","the","warped","basket","I",7,2,6,6,8,2,4,6,3,1,1,2,6.55,1212.84,1.35,13.18,0.88,3.08,0.37,1.15,4.58,4.42,2.83,0,0,0,0,0,0,4,"C","",155,13,"the bicycle by the warped basket was broken"
"374","155-14",155,14,3,"SemRel","unint","unrel","sing","The","caddy","near","the","charismatic","celebrity","A",5,4,11,9,4,3,10,9,2,1,4,4,2.73,59.14,0.8,3.57,0.57,1.78,0.26,0.66,2.83,2.58,2.5,0,0,0,0,0,0,5.75,"C","",155,14,"the caddy near the charismatic celebrity was sad"
"375","155-15",155,15,3,"SemRel","unint","unrel","sing","The","church","near","the","giant","driveway","I",6,4,5,8,6,3,5,6,1,1,2,2,68.73,59.14,20.18,6.71,1.84,1.78,1.33,0.89,2.5,2.25,2.08,0,0,0,0,0,0,4.5,"C","",155,15,"the church near the giant driveway was open"
"376","155-16",155,16,3,"SemRel","unint","rel","plur","The","eraser","near","the","novelty","pencils","I",6,4,7,7,6,3,7,7,3,1,3,2,1,59.14,1.67,2.84,0.3,1.78,0.43,0.58,6.67,6.75,4.58,2.5,0,10,0.32,0,0.64,6.42,"C","",155,16,"the eraser near the novelty pencils was pink"
"377","155-17",155,17,3,"SemRel","unint","rel","plur","The","waitress","by","the","impatient","diners","A",8,2,9,6,6,2,8,6,2,1,3,2,9.67,1212.84,4.04,0.78,1.03,3.08,0.7,0.25,6.75,5.92,5.17,0,0,2.5,0,0,0.32,5.17,"C","",155,17,"the waitress by the impatient diners was angry"
"378","155-18",155,18,3,"SemRel","unint","rel","plur","The","table","by","the","antique","chairs","I",5,2,7,6,5,2,5,5,2,1,2,1,105.2,1212.84,4.35,9.86,2.03,3.08,0.73,1.04,6.5,6.75,5.67,2.5,5,15,0.32,0.45,0.8,6,"C","",155,18,"the table by the antique chairs was broken"
"379","155-19",155,19,3,"SemRel","unint","rel","sing","The","resort","near","the","elongated","pool","I",6,4,9,4,6,3,9,3,2,1,4,1,6.65,59.14,0.31,46.69,0.88,1.78,0.12,1.68,5.33,6.17,4.5,5,0,0,0.45,0,0,5.67,"C","",155,19,"the resort near the elongated pool was hot"
"380","155-20",155,20,3,"SemRel","unint","rel","sing","The","hydrant","near","the","bent","hose","I",7,4,5,4,8,3,4,3,2,1,1,1,1,59.14,1.02,7.45,0.3,1.78,0.31,0.93,5.75,5.67,4.5,0,0,0,0,0,0,4.83,"P","",155,20,"the hydrant near the bent house was read"
"381","155-24",155,24,3,"SemRel","integ","unrel","plur","The","camera","with","the","special","manuals","I",6,4,7,7,6,3,6,8,3,1,2,3,56.9,5044.84,148.2,0.61,1.76,3.7,2.17,0.21,3.92,4,5.42,0,0,0,0,0,0,5.92,"C","",155,24,"the camera with the special manuals was hard to use"
"382","161-1",161,1,1,"SemRel","integ","rel","sing","The","envelope","for","the","formal","letter","I",8,3,6,6,7,3,5,5,3,1,2,2,10.04,6749.25,8.31,82.53,1.04,3.83,0.97,1.92,7,6.25,6.5,27.5,0,10,1.1,0,0.64,6.25,"C","",161,1,"the envelope for the formal letter was made of gold"
"383","161-2",161,2,1,"SemRel","integ","rel","sing","The","cake","with","the","colored","candle","I",4,4,7,6,3,3,6,5,1,1,2,2,44.84,5044.84,5.06,8,1.66,3.7,0.78,0.95,6,5.42,6,2.5,2.5,0,0.32,0.32,0,6.25,"C","",161,2,"the cake with the colored candle was on fire"
"384","161-3",161,3,1,"SemRel","integ","rel","sing","The","hammer","for","the","rusty","nail","I",6,3,6,4,5,3,5,4,2,1,2,1,10.18,6749.25,4.45,10.45,1.05,3.83,0.74,1.06,7,6.33,5.92,35,0,25,1.27,0,1.05,5.08,"C","",161,3,"the hammer for the rusty nail was broken"
"385","161-4",161,4,1,"SemRel","unint","unrel","plur","The","coach","near","the","disruptive","teenagers","A",5,4,10,9,4,3,9,8,1,1,3,3,29.33,59.14,0.43,4.29,1.48,1.78,0.16,0.72,3.83,3.58,2.17,0,0,0,0,0,0,5.25,"U","",161,4,"the coach near the disruptive teenagers told them to go away"
"386","161-5",161,5,1,"SemRel","unint","unrel","plur","The","tent","near","the","sturdy","cushions","I",4,4,6,8,4,3,6,6,1,1,2,2,17.39,59.14,1.69,1.16,1.26,1.78,0.43,0.33,2.08,2.33,1.75,0,0,0,0,0,0,2.5,"C","",161,5,"the tent near the sturdy cushions was falling apart"
"387","161-6",161,6,1,"SemRel","unint","unrel","plur","The","dam","by","the","musty","factories","I",3,2,5,9,3,2,5,8,1,1,2,3,5.29,1212.84,0.49,16.8,0.8,3.08,0.17,1.25,1.92,3.27,2.67,0,2.5,0,0,0.32,0,4.5,"C","",161,6,"the dam by the musty factories was dirty"
"388","161-7",161,7,1,"SemRel","unint","unrel","sing","The","necklace","near","the","colorful","feather","I",8,4,8,7,6,3,8,5,2,1,3,2,9.71,59.14,3.14,6.51,1.03,1.78,0.62,0.88,1.42,2.75,1.67,0,0,0,0,0,0,4.67,"C","",161,7,"the necklace near the colorful feather was made of jewels"
"389","161-8",161,8,1,"SemRel","unint","unrel","sing","The","fortress","near","the","ancient","farm","I",8,4,7,4,7,3,6,3,2,1,2,1,3.37,59.14,21.61,29.76,0.64,1.78,1.35,1.49,2,2.17,2.67,0,0,0,0,0,0,4,"C","",161,8,"the fortress near the ancient farm was haunted"
"390","161-9",161,9,1,"SemRel","unint","unrel","sing","The","butler","near","the","spoiled","kid","A",6,4,7,3,6,3,5,3,2,1,2,1,6.8,59.14,2.18,327.47,0.89,1.78,0.5,2.52,1.25,1.5,2.33,0,0,0,0,0,0,5.17,"U","",161,9,"the butler near the spoiled kid tripped over the stairs"
"391","161-10",161,10,1,"SemRel","unint","rel","plur","The","vase","near","the","vibrant","flowers","I",4,4,7,7,3,3,7,6,1,1,2,2,3.84,59.14,1.02,46.61,0.69,1.78,0.31,1.68,6.42,6.33,4.67,25,0,0,1.05,0,0,5.83,"C","",161,10,"the vase near the vibrant flowers was blue"
"392","161-11",161,11,1,"SemRel","unint","rel","plur","The","banana","near","the","popular","sundaes","I",6,4,7,7,6,3,8,6,3,1,3,2,10.61,59.14,23.22,0.53,1.06,1.78,1.38,0.18,5.5,5,4.17,0,0,2.5,0,0,0.32,3.83,"E","",161,11,"the banana near the popular sundaes were rotten"
"393","161-12",161,12,1,"SemRel","unint","rel","plur","The","bodyguard","near","the","nervous","actresses","A",9,4,7,9,8,3,6,8,3,1,2,3,5.71,59.14,67.04,2.25,0.83,1.78,1.83,0.51,3.92,5.42,4.92,0,0,0,0,0,0,6,"P","",161,12,"the bodyguard near the nervous actress protected her"
"394","161-13",161,13,1,"SemRel","unint","rel","sing","The","bicycle","by","the","warped","tire","I",7,2,6,4,8,2,4,4,3,1,1,1,6.55,1212.84,1.35,2.43,0.88,3.08,0.37,0.54,6.67,5.42,5.08,2.5,0,0,0.32,0,0,5.33,"U","",161,13,"the bicycle by the warped tire had a flat tire"
"395","161-14",161,14,1,"SemRel","unint","rel","sing","The","caddy","near","the","charismatic","golfer","A",5,4,11,6,4,3,10,6,2,1,4,2,2.73,59.14,0.8,1.1,0.57,1.78,0.26,0.32,6.92,6,5.33,0,0,5,0,0,0.45,5.83,"C","",161,14,"the caddy near the charismatic golfer was laughing"
"396","161-15",161,15,1,"SemRel","unint","rel","sing","The","church","near","the","giant","cross","I",6,4,5,5,6,3,5,4,1,1,2,1,68.73,59.14,20.18,30.35,1.84,1.78,1.33,1.5,6.33,7,4.5,2.5,0,10,0.32,0,0.64,6,"C","",161,15,"the church near the giant cross was christian"
"397","161-16",161,16,1,"SemRel","integ","unrel","plur","The","eraser","for","the","novelty","pens","I",6,3,7,4,6,3,7,4,3,1,3,1,1,6749.25,1.67,2.51,0.3,3.83,0.43,0.55,3.33,5.11,4.08,0,2.5,2.5,0,0.32,0.32,4.25,"C","",161,16,"the eraser for the novelty pens doesn't work very well"
"398","161-17",161,17,1,"SemRel","integ","unrel","plur","The","waitress","for","the","impatient","seniors","A",8,3,9,7,6,3,8,6,2,1,3,2,9.67,6749.25,4.04,2.43,1.03,3.83,0.7,0.54,2.17,1.75,3.08,0,0,0,0,0,0,5.33,"U","",161,17,"the waitress for the impatient seniors got angry"
"399","161-19",161,19,1,"SemRel","integ","unrel","sing","The","resort","with","the","elaborate","garden","I",6,4,9,6,6,3,8,5,2,1,4,2,6.65,6749.25,2.98,26.29,0.88,3.83,0.6,1.44,3.67,3.67,4.33,0,0,0,0,0,0,6.5,"C","",161,19,"the resort with the elaborate garden was beautiful"
"400","161-20",161,20,1,"SemRel","integ","unrel","sing","The","hydrant","with","the","bright","reflector","I",7,4,6,9,8,3,4,9,2,1,1,3,1,5044.84,42.31,0.27,0.3,3.7,1.64,0.11,2.58,2,3.67,0,0,0,0,0,0,5.17,"C","D",161,20,"the hydrant with the bright reflector um was broken"
"401","161-21",161,21,1,"SemRel","integ","unrel","sing","The","guitar","with","the","faulty","pedal","I",6,4,6,5,5,3,5,5,2,1,2,2,15.53,5044.84,1.63,1.47,1.22,3.7,0.42,0.39,4.17,5,4.42,0,0,0,0,0,0,4.5,"U","",161,21,"the guitar with the faulty pedal did not make good music"
"402","161-23",161,23,1,"SemRel","integ","rel","plur","The","canoe","with","the","weathered","oars","I",5,4,9,4,4,3,5,4,2,1,2,1,3.53,5044.84,0.18,1.08,0.66,3.7,0.07,0.32,5.42,6.58,5.67,0,0,5,0,0,0.45,6,"C","",161,23,"the canoe with the weathered oars was old"
"403","161-24",161,24,1,"SemRel","integ","rel","plur","The","camera","with","the","special","lenses","I",6,4,7,6,6,3,6,6,3,1,2,2,56.9,5044.84,148.2,2.27,1.76,3.7,2.17,0.52,6.08,6.5,6.58,2.5,0,12.5,0.32,0,0.72,6.33,"C","",161,24,"the camera with the special lenses is very expensive "
"404","162-2",162,2,2,"SemRel","integ","rel","plur","The","cake","with","the","colored","candles","I",4,4,7,7,3,3,6,6,1,1,2,2,44.84,5044.84,5.06,10.45,1.66,3.7,0.78,1.06,5.17,5.92,5.5,0,0,0,0,0,0,6.42,"C","",162,2,"the cake with the colored candles is still lit"
"405","162-3",162,3,2,"SemRel","integ","rel","plur","The","hammer","for","the","rusty","nails","I",6,3,6,5,5,3,5,5,2,1,2,1,10.18,6749.25,4.45,10.82,1.05,3.83,0.74,1.07,6.75,6.83,5.42,2.5,2.5,22.5,0.32,0.32,0.99,6,"C","",162,3,"the hammer for the rusty nails is over there"
"406","162-4",162,4,2,"SemRel","integ","rel","sing","The","coach","for","the","disciplined","athlete","A",5,3,11,7,4,3,9,5,1,1,3,2,29.33,6749.25,0.98,4.61,1.48,3.83,0.3,0.75,6.5,6.42,5.75,0,0,0,0,0,0,5.92,"U","",162,4,"the coach for the disciplined athlete trained him well"
"407","162-5",162,5,2,"SemRel","integ","rel","sing","The","tent","with","the","sturdy","pole","I",4,4,6,4,4,3,6,3,1,1,2,1,17.39,5044.84,1.69,12.47,1.26,3.7,0.43,1.13,5.83,5.25,6,0,0,2.5,0,0,0.32,6.18,"C","",162,5,"the tent with the sturdy pole looks good"
"408","162-6",162,6,2,"SemRel","integ","rel","sing","The","dam","for","the","murky","river","I",3,3,5,5,3,3,5,5,1,1,2,2,5.29,6749.25,0.61,55.31,0.8,3.83,0.21,1.75,5.83,6.33,6.17,12.5,0,0,0.72,0,0,5.33,"C","",162,6,"the dam for the murky river is broken"
"409","162-7",162,7,2,"SemRel","unint","unrel","plur","The","necklace","near","the","colorful","feathers","I",8,4,8,8,6,3,8,6,2,1,3,2,9.71,59.14,3.14,5.71,1.03,1.78,0.62,0.83,2.58,1.92,2,0,0,0,0,0,0,4.83,"C","",162,7,"the necklace near the colorful feathers is pretty"
"410","162-8",162,8,2,"SemRel","unint","unrel","plur","The","fortress","near","the","ancient","farms","I",8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,2.76,0.64,1.78,1.35,0.58,1.25,2.92,1.67,0,0,0,0,0,0,5,"C","",162,8,"the fortress near the ancient farms is falling apart"
"411","162-11",162,11,2,"SemRel","unint","unrel","sing","The","banana","near","the","popular","sandwich","I",6,4,7,8,6,3,8,7,3,1,3,2,10.61,59.14,23.22,21.47,1.06,1.78,1.38,1.35,3.67,2.18,2.58,0,0,0,0,0,0,4.58,"C","",162,11,"the banana near the popular sandwich is rotten"
"412","162-12",162,12,2,"SemRel","unint","unrel","sing","The","bodyguard","near","the","nervous","jeweler","A",9,4,7,7,8,3,6,7,3,1,2,3,5.71,59.14,67.04,1,0.83,1.78,1.83,0.3,2.64,3.08,2.67,0,0,0,0,0,0,5.25,"U","",162,12,"the bodyguard near the nervous jeweler made him indomitable"
"413","162-13",162,13,2,"SemRel","unint","rel","plur","The","bicycle","by","the","warped","tires","I",7,2,6,5,8,2,4,5,3,1,1,1,6.55,1212.84,1.35,2.67,0.88,3.08,0.37,0.56,6.17,6.25,4.08,0,0,0,0,0,0,4.75,"C","",162,13,"the bicycle by the warped tires is not yours"
"414","162-14",162,14,2,"SemRel","unint","rel","plur","The","caddy","near","the","charismatic","golfers","A",5,4,11,7,4,3,10,7,2,1,4,2,2.73,59.14,0.8,0.55,0.57,1.78,0.26,0.19,6.83,6.42,5.08,0,2.5,2.5,0,0.32,0.32,6.08,"C","",162,14,"the caddy near the charismatic golfers was listening to their conversation"
"415","162-15",162,15,2,"SemRel","unint","rel","plur","The","church","near","the","giant","crosses","I",6,4,5,7,6,3,5,6,1,1,2,2,68.73,59.14,20.18,2.33,1.84,1.78,1.33,0.52,6.67,6.33,5.17,0,0,7.5,0,0,0.55,5.75,"C","",162,15,"the church near the giant crosses has a bell that's ringing"
"416","162-16",162,16,2,"SemRel","unint","rel","sing","The","eraser","near","the","novelty","pencil","I",6,4,7,6,6,3,7,6,3,1,3,2,1,59.14,1.67,9.67,0.3,1.78,0.43,1.03,6.5,6.75,4.58,27.5,0,15,1.1,0,0.8,5.25,"C","",162,16,"the eraser near the novelty pencil is mine"
"417","162-17",162,17,2,"SemRel","unint","rel","sing","The","waitress","by","the","impatient","diner","A",8,2,9,5,6,2,8,5,2,1,3,2,9.67,1212.84,4.04,12.39,1.03,3.08,0.7,1.13,6.58,6.25,4.25,5,0,2.5,0.45,0,0.32,5.83,"C","",162,17,"the waitress by the impatient diner was bored"
"418","162-18",162,18,2,"SemRel","unint","rel","sing","The","table","by","the","antique","chair","I",5,2,7,5,5,2,5,4,2,1,2,1,105.2,1212.84,4.35,48.02,2.03,3.08,0.73,1.69,6.5,6.17,3.17,17.5,0,0,0.86,0,0,5.92,"C","",162,18,"the table by the antique chair looks really cool"
"419","162-19",162,19,2,"SemRel","integ","unrel","plur","The","resort","with","the","elaborate","gardens","I",6,4,9,7,6,3,8,6,2,1,4,2,6.65,6749.25,2.98,4.02,0.88,3.83,0.6,0.7,2.38,3.33,4.13,0,0,0,0,0,0,6.5,"C","",162,19,"the resort with the elaborate gardens is really cool"
"420","162-20",162,20,2,"SemRel","integ","unrel","plur","The","hydrant","with","the","bright","reflectors","I",7,4,6,10,8,3,4,10,2,1,1,3,1,5044.84,42.31,0.14,0.3,3.7,1.64,0.06,2.08,2,3.83,0,0,0,0,0,0,4.92,"C","D",162,20,"the hydrant with the h-bright reflectors is spouting water"
"421","162-21",162,21,2,"SemRel","integ","unrel","plur","The","guitar","with","the","faulty","pedals","I",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,0,0,0,0,0,0,2.5,"C","",162,21,"the guitar with the faulty pedals doesn't sound good"
"422","162-23",162,23,2,"SemRel","integ","unrel","sing","The","canoe","with","the","weathered","flag","I",5,4,9,4,4,3,5,4,2,1,2,1,3.53,5044.84,0.18,17.1,0.66,3.7,0.07,1.26,1.42,1.08,1.83,0,0,0,0,0,0,4.58,"C","",162,23,"the canoe with the weathered flag is sailing in the middle of the lake"
"423","162-24",162,24,2,"SemRel","integ","unrel","sing","The","camera","with","the","special","manual","I",6,4,7,6,6,3,6,7,3,1,2,3,56.9,5044.84,148.2,5.75,1.76,3.7,2.17,0.83,5.17,2.92,5,0,0,0,0,0,0,5.58,"C","",162,24,"the camera with the special manual is complicated"
"424","170-1",170,1,2,"SemRel","integ","rel","plur","The","envelope","for","the","formal","letters","I",8,3,6,7,7,3,5,6,3,1,2,1,10.04,6749.25,8.31,37.37,1.04,3.83,0.97,1.58,6.5,6.45,5.83,0,0,2.5,0,0,0.32,6.5,"C","",170,1,"the envelope for the formal letters was professional stationary"
"425","170-2",170,2,2,"SemRel","integ","rel","plur","The","cake","with","the","colored","candles","I",4,4,7,7,3,3,6,6,1,1,2,2,44.84,5044.84,5.06,10.45,1.66,3.7,0.78,1.06,5.17,5.92,5.5,0,0,0,0,0,0,6.42,"C","",170,2,"the cake with the colored candles was bobby's favorite"
"426","170-3",170,3,2,"SemRel","integ","rel","plur","The","hammer","for","the","rusty","nails","I",6,3,6,5,5,3,5,5,2,1,2,1,10.18,6749.25,4.45,10.82,1.05,3.83,0.74,1.07,6.75,6.83,5.42,2.5,2.5,22.5,0.32,0.32,0.99,6,"U","",170,3,"the hammer for the rusty nails worked just as well"
"427","170-4",170,4,2,"SemRel","integ","rel","sing","The","coach","for","the","disciplined","athlete","A",5,3,11,7,4,3,9,5,1,1,3,2,29.33,6749.25,0.98,4.61,1.48,3.83,0.3,0.75,6.5,6.42,5.75,0,0,0,0,0,0,5.92,"C","",170,4,"the coach for the disciplined athlete was very proud"
"428","170-5",170,5,2,"SemRel","integ","rel","sing","The","tent","with","the","sturdy","pole","I",4,4,6,4,4,3,6,3,1,1,2,1,17.39,5044.84,1.69,12.47,1.26,3.7,0.43,1.13,5.83,5.25,6,0,0,2.5,0,0,0.32,6.18,"U","",170,5,"the tent with the sturdy pole held up in the rain"
"429","170-6",170,6,2,"SemRel","integ","rel","sing","The","dam","for","the","murky","river","I",3,3,5,5,3,3,5,5,1,1,2,2,5.29,6749.25,0.61,55.31,0.8,3.83,0.21,1.75,5.83,6.33,6.17,12.5,0,0,0.72,0,0,5.33,"C","",170,6,"the dam for the murky river was broken"
"430","170-7",170,7,2,"SemRel","unint","unrel","plur","The","necklace","near","the","colorful","feathers","I",8,4,8,8,6,3,8,6,2,1,3,2,9.71,59.14,3.14,5.71,1.03,1.78,0.62,0.83,2.58,1.92,2,0,0,0,0,0,0,4.83,"C","",170,7,"the necklace near the colorful feathers was brand new"
"431","170-8",170,8,2,"SemRel","unint","unrel","plur","The","fortress","near","the","ancient","farms","I",8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,2.76,0.64,1.78,1.35,0.58,1.25,2.92,1.67,0,0,0,0,0,0,5,"C","",170,8,"the fortress near the ancient farms was very pretty"
"432","170-9",170,9,2,"SemRel","unint","unrel","plur","The","butler","near","the","spoiled","kids","A",6,4,7,4,6,3,5,4,2,1,2,1,6.8,59.14,2.18,300.86,0.89,1.78,0.5,2.48,2.92,2.5,2.92,0,0,0,0,0,0,6,"C","",170,9,"the butler near the spoiled kids was angry"
"433","170-10",170,10,2,"SemRel","unint","unrel","sing","The","vase","near","the","vibrant","cover","I",4,4,7,5,3,3,7,5,1,1,2,2,3.84,59.14,1.02,34.55,0.69,1.78,0.31,1.55,1.92,2,2.5,0,0,0,0,0,0,4.08,"C","",170,10,"the vase near the vibrant cover was new"
"434","170-11",170,11,2,"SemRel","unint","unrel","sing","The","banana","near","the","popular","sandwich","I",6,4,7,8,6,3,8,7,3,1,3,2,10.61,59.14,23.22,21.47,1.06,1.78,1.38,1.35,3.67,2.18,2.58,0,0,0,0,0,0,4.58,"C","",170,11,"the banana near the popular sandwich was old"
"435","170-12",170,12,2,"SemRel","unint","unrel","sing","The","bodyguard","near","the","nervous","jeweler","A",9,4,7,7,8,3,6,7,3,1,2,3,5.71,59.14,67.04,1,0.83,1.78,1.83,0.3,2.64,3.08,2.67,0,0,0,0,0,0,5.25,"C","",170,12,"the bodyguard near the nervous jeweler was trying to calm him down"
"436","170-13",170,13,2,"SemRel","unint","rel","plur","The","bicycle","by","the","warped","tires","I",7,2,6,5,8,2,4,5,3,1,1,1,6.55,1212.84,1.35,2.67,0.88,3.08,0.37,0.56,6.17,6.25,4.08,0,0,0,0,0,0,4.75,"U","",170,13,"the bicycle by the warped tires didn't work"
"437","170-15",170,15,2,"SemRel","unint","rel","plur","The","church","near","the","giant","crosses","I",6,4,5,7,6,3,5,6,1,1,2,2,68.73,59.14,20.18,2.33,1.84,1.78,1.33,0.52,6.67,6.33,5.17,0,0,7.5,0,0,0.55,5.75,"C","",170,15,"the church near the giant crosses was the nicest in town"
"438","170-16",170,16,2,"SemRel","unint","rel","sing","The","eraser","near","the","novelty","pencil","I",6,4,7,6,6,3,7,6,3,1,3,2,1,59.14,1.67,9.67,0.3,1.78,0.43,1.03,6.5,6.75,4.58,27.5,0,15,1.1,0,0.8,5.25,"C","",170,16,"the eraser near the novelty pencil was shaped like a rainbow"
"439","170-17",170,17,2,"SemRel","unint","rel","sing","The","waitress","by","the","impatient","diner","A",8,2,9,5,6,2,8,5,2,1,3,2,9.67,1212.84,4.04,12.39,1.03,3.08,0.7,1.13,6.58,6.25,4.25,5,0,2.5,0.45,0,0.32,5.83,"U","",170,17,"the waitress by the impatient diner got annoyed"
"440","170-18",170,18,2,"SemRel","unint","rel","sing","The","table","by","the","antique","chair","I",5,2,7,5,5,2,5,4,2,1,2,1,105.2,1212.84,4.35,48.02,2.03,3.08,0.73,1.69,6.5,6.17,3.17,17.5,0,0,0.86,0,0,5.92,"C","",170,18,"the table by the antique chair was brand new"
