subitem	subject	item	word	seconds
36-7	36	7	D1	0.057390831
36-7	36	7	N1	0.379544766
36-7	36	7	P1	0.123830664
36-7	36	7	D2	0.120408212
36-7	36	7	A1	0.405570085
36-7	36	7	N2	0.864418636
36-7	36	7	sil_N2C1	0.19350495
36-7	36	7	C1	0.163288234
36-7	36	7	C2	0.485982614
36-8	36	8	sil_#	1.746370471
36-8	36	8	D1	0.077954351
36-8	36	8	N1	0.481940874
36-8	36	8	P1	0.131173214
36-8	36	8	D2	0.066806589
36-8	36	8	A1	0.357224142
36-8	36	8	N2	0.368556904
36-8	36	8	C1	0.175357213
36-8	36	8	C2	0.433714496
36-9	36	9	sil_#	0.701479584
36-9	36	9	D1	0.033553579
36-9	36	9	N1	0.299252693
36-9	36	9	P1	0.165131558
36-9	36	9	D2	0.099440909
36-9	36	9	A1	0.603867934
36-9	36	9	N2	1.001912575
36-9	36	9	sil_N2C1	0.423247518
36-9	36	9	C1	0.685443258
36-9	36	9	sil_C1C2	0.990955515
36-9	36	9	C2	0.687595522
36-10	36	10	sil_#	0.489680568
36-10	36	10	D1	0.093120759
36-10	36	10	N1	0.370053797
36-10	36	10	P1	0.149863067
36-10	36	10	D2	0.076116098
36-10	36	10	A1	0.418654647
36-10	36	10	N2	0.789288431
36-10	36	10	sil_N2C1	0.765269816
36-10	36	10	C1	0.227754264
36-10	36	10	C2	0.128262613
36-10	36	10	C3	0.134467072
36-11	36	11	sil_#	1.200324001
36-11	36	11	D1	0.034610202
36-11	36	11	N1	0.40661018
36-11	36	11	P1	0.19051182
36-11	36	11	D2	0.166422384
36-11	36	11	A1	0.474953114
36-11	36	11	N2	0.780123966
36-11	36	11	sil_N2C1	0.811635373
36-11	36	11	C1	0.745386943
36-11	36	11	sil_C1C2	0.748727023
36-11	36	11	C2	0.193548422
36-11	36	11	C3	0.226942142
36-13	36	13	sil_#	0.970261247
36-13	36	13	D1	0.083133811
36-13	36	13	N1	0.457394799
36-13	36	13	P1	0.274617356
36-13	36	13	D2	0.094772414
36-13	36	13	A1	0.362339796
36-13	36	13	N2	0.717267481
36-13	36	13	sil_N2C1	0.67016714
36-13	36	13	C1	0.484494662
36-13	36	13	C2	0.562170353
36-14	36	14	sil_#	0.333232607
36-14	36	14	D1	0.102445942
36-14	36	14	N1	0.29553087
36-14	36	14	P1	0.162501957
36-14	36	14	D2	0.160071785
36-14	36	14	A1	0.789767351
36-14	36	14	sil_A1N2	0.320863498
36-14	36	14	N2	0.979080808
36-14	36	14	sil_N2C1	0.814120114
36-14	36	14	C1	0.442830998
36-14	36	14	C2	0.566966053
36-15	36	15	sil_#	0.632893758
36-15	36	15	D1	0.074597223
36-15	36	15	N1	0.320383739
36-15	36	15	P1	0.144475418
36-15	36	15	D2	0.089636073
36-15	36	15	A1	0.380723338
36-15	36	15	N2	0.906165219
36-15	36	15	sil_N2C1	0.599774494
36-15	36	15	C1	0.359401663
36-15	36	15	C2	0.578017645
36-16	36	16	sil_#	1.165061154
36-16	36	16	D1	0.069284245
36-16	36	16	N1	0.441847041
36-16	36	16	P1	0.17147974
36-16	36	16	D2	0.103016736
36-16	36	16	A1	0.497848199
36-16	36	16	N2	0.517735006
36-16	36	16	C1	0.239766722
36-16	36	16	C2	0.374041895
36-17	36	17	sil_#	0.918458728
36-17	36	17	D1	0.068708121
36-17	36	17	N1	0.374621551
36-17	36	17	P1	0.153502992
36-17	36	17	D2	0.115376885
36-17	36	17	A1	0.537230555
36-17	36	17	N2	0.649293414
36-17	36	17	sil_N2C1	0.69157416
36-17	36	17	C1	0.30655381
36-17	36	17	C2	0.452841515
36-18	36	18	sil_#	0.720801385
36-18	36	18	D1	0.07405315
36-18	36	18	N1	0.328480183
36-18	36	18	P1	0.181922806
36-18	36	18	D2	0.107878895
36-18	36	18	A1	0.541064043
36-18	36	18	N2	0.475114627
36-18	36	18	C1	0.187215844
36-18	36	18	C2	0.697179855
36-20	36	20	sil_#	0.804256499
36-20	36	20	D1	0.059763737
36-20	36	20	N1	0.377842294
36-20	36	20	P1	0.194439855
36-20	36	20	D2	0.087790237
36-20	36	20	A1	0.273862179
36-20	36	20	N2	0.607617011
36-20	36	20	sil_N2C1	0.233890747
36-20	36	20	C1	0.156875493
36-20	36	20	C2	0.499438353
36-21	36	21	sil_#	1.619467324
36-21	36	21	D1	0.080195744
36-21	36	21	N1	0.345194903
36-21	36	21	P1	0.15353665
36-21	36	21	D2	0.110085577
36-21	36	21	A1	0.781398202
36-21	36	21	N2	0.815555971
36-21	36	21	sil_N2C1	0.996113366
36-21	36	21	C1	0.153997496
36-21	36	21	C2	0.200614319
36-21	36	21	C3	0.217367309
36-22	36	22	sil_#	1.082625885
36-22	36	22	D1	0.137871026
36-22	36	22	N1	0.340839868
36-22	36	22	P1	0.203231974
36-22	36	22	D2	0.13109075
36-22	36	22	A1	0.459191582
36-22	36	22	N2	0.789972063
36-22	36	22	sil_N2C1	0.590650592
36-22	36	22	C1	0.254669635
36-22	36	22	C2	0.723408823
36-23	36	23	sil_#	0.882568076
36-23	36	23	D1	0.092902648
36-23	36	23	N1	0.286313975
36-23	36	23	P1	0.193087994
36-23	36	23	D2	0.115989307
36-23	36	23	A1	0.455101585
36-23	36	23	N2	0.656574242
36-23	36	23	sil_N2C1	0.441928652
36-23	36	23	C1	0.618341612
36-23	36	23	sil_C1C2	0.352101019
36-23	36	23	C2	0.240526184
36-23	36	23	C3	0.446385394
36-24	36	24	sil_#	0.722393669
36-24	36	24	D1	0.061865093
36-24	36	24	N1	0.29155833
36-24	36	24	P1	0.162609886
36-24	36	24	D2	0.089038567
36-24	36	24	A1	0.375549935
36-24	36	24	N2	0.61901636
36-24	36	24	sil_N2C1	0.177110508
36-24	36	24	C1	0.247998263
36-24	36	24	C2	0.637281617
44-1	44	1	sil_#	0.903942889
44-1	44	1	D1	0.048372765
44-1	44	1	N1	0.355054996
