Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,RANK,RANKlog
abominate,3,2,3,2,0.06,0.6021,0.02,0.4771,52057,4.716479136
abomination,58,47,53,46,1.14,1.7709,0.56,1.6812,16261,4.21114725
abominations,7,7,7,7,0.14,0.9031,0.08,0.9031,39247,4.593806465
aboriginal,9,9,8,8,0.18,1.0000,0.11,1.0000,36273,4.559583476
aborigine,4,4,4,4,0.08,0.6990,0.05,0.6990,45732,4.660220195
aborigines,9,8,5,4,0.18,1.0000,0.10,0.9542,36753,4.565292795
Abort,235,118,117,81,4.61,2.3729,1.41,2.0755,7241,3.859798547
aborted,32,29,31,28,0.63,1.5185,0.35,1.4771,21959,4.341612559
aborting,13,11,10,9,0.25,1.1461,0.13,1.0792,32287,4.509027694
abortion,369,155,354,149,7.24,2.5682,1.85,2.1931,5424,3.734319681
abortionist,4,4,4,4,0.08,0.6990,0.05,0.6990,45733,4.660229691
abortions,35,28,34,27,0.69,1.5563,0.33,1.4624,21150,4.325310372
abound,18,16,18,16,0.35,1.2788,0.19,1.2304,28401,4.453333632
abounded,3,3,3,3,0.06,0.6021,0.04,0.6021,48967,4.689903497
abounding,4,3,4,3,0.08,0.6990,0.04,0.6021,47626,4.677844108
abounds,10,10,10,10,0.20,1.0414,0.12,1.0414,35038,4.544539308
about,185206,8321,179962,8313,3631.49,5.2677,99.20,3.9202,51,1.707570176
abouts,8,8,8,8,0.16,0.9542,0.10,0.9542,37670,4.57599562
above,2493,1778,2350,1703,48.88,3.3969,21.20,3.2502,1337,3.126131407
aboveboard,14,13,14,13,0.27,1.1761,0.15,1.1461,31182,4.493903967
aboveground,7,7,6,6,0.14,0.9031,0.08,0.9031,39248,4.593817531
Abracadabra,53,26,10,8,1.04,1.7324,0.31,1.4314,17168,4.234719705
abraded,5,5,4,4,0.10,0.7782,0.06,0.7782,43132,4.634799597
Abraham,264,140,3,1,5.18,2.4232,1.67,2.1492,6719,3.827304641
abrasion,18,15,15,13,0.35,1.2788,0.18,1.2041,28510,4.454997217
abrasions,56,50,52,47,1.10,1.7559,0.60,1.7076,16547,4.218719267
abrasive,23,22,21,20,0.45,1.3802,0.26,1.3617,25503,4.406591271
abrasiveness,2,1,2,1,0.04,0.4771,0.01,0.3010,58902,4.770130041
abrasives,4,1,4,1,0.08,0.6990,0.01,0.3010,48731,4.687805324
Abraxas,29,3,0,0,0.57,1.4771,0.04,0.6021,23317,4.367672673
abreast,26,25,26,25,0.51,1.4314,0.30,1.4150,24150,4.382917135
abridged,9,6,7,5,0.18,1.0000,0.07,0.8451,37287,4.571557443
abridging,2,2,2,2,0.04,0.4771,0.02,0.4771,53524,4.728548562
abroad,250,203,248,201,4.90,2.3997,2.42,2.3096,6968,3.843108142
abrogated,2,2,2,2,0.04,0.4771,0.02,0.4771,53525,4.728556676
abrupt,58,56,56,54,1.14,1.7709,0.67,1.7559,16181,4.209005358
abruption,6,5,5,5,0.12,0.8451,0.06,0.7782,41980,4.623042434
abruptly,45,43,44,42,0.88,1.6628,0.51,1.6435,18534,4.267969159
abruptness,4,4,4,4,0.08,0.6990,0.05,0.6990,45734,4.660239187
abs,54,44,36,31,1.06,1.7404,0.52,1.6532,16930,4.228656958
Abscam,3,2,0,0,0.06,0.6021,0.02,0.4771,52058,4.716487479
abscess,25,21,23,20,0.49,1.4150,0.25,1.3424,24725,4.3931363
abscessed,3,3,3,3,0.06,0.6021,0.04,0.6021,48968,4.689912366
abscesses,7,6,6,5,0.14,0.9031,0.07,0.8451,39991,4.601962264
abscond,5,5,5,5,0.10,0.7782,0.06,0.7782,43133,4.634809665
absconded,5,5,5,5,0.10,0.7782,0.06,0.7782,43134,4.634819734
absconders,2,2,2,2,0.04,0.4771,0.02,0.4771,53526,4.72856479
absconding,3,3,3,3,0.06,0.6021,0.04,0.6021,48969,4.689921235
absence,322,285,314,281,6.31,2.5092,3.40,2.4564,5920,3.772321707
absences,14,12,14,12,0.27,1.1761,0.14,1.1139,31374,4.496569892
absent,131,111,117,100,2.57,2.1206,1.32,2.0492,10238,4.010215125
absentee,18,18,18,18,0.35,1.2788,0.21,1.2788,28200,4.450249108
absenteeism,5,5,5,5,0.10,0.7782,0.06,0.7782,43135,4.634829802
absentees,4,4,4,4,0.08,0.6990,0.05,0.6990,45735,4.660248683
absentia,9,8,9,8,0.18,1.0000,0.10,0.9542,36754,4.565304611
absenting,2,2,1,1,0.04,0.4771,0.02,0.4771,53527,4.728572903
absentminded,3,2,3,2,0.06,0.6021,0.02,0.4771,52059,4.716495822
absinthe,28,15,16,9,0.55,1.4624,0.18,1.2041,23648,4.373794417
absinthes,3,1,3,1,0.06,0.6021,0.01,0.3010,52998,4.724259481
absolute,577,491,529,459,11.31,2.7619,5.85,2.6920,4018,3.604009932
absolutely,5769,3291,3032,2053,113.12,3.7612,39.23,3.5175,692,2.840106094
absolutes,21,16,20,15,0.41,1.3424,0.19,1.2304,26791,4.427988924
absolution,48,43,47,43,0.94,1.6902,0.51,1.6435,17944,4.253919261
absolve,29,25,27,24,0.57,1.4771,0.30,1.4150,23071,4.363066419
absolved,15,15,15,15,0.29,1.2041,0.18,1.2041,30255,4.480797157
Absolver,4,1,0,0,0.08,0.6990,0.01,0.3010,48732,4.687814236
absolves,4,3,4,3,0.08,0.6990,0.04,0.6021,47627,4.677853226
absolving,5,5,5,5,0.10,0.7782,0.06,0.7782,43136,4.634839871
absorb,101,92,99,91,1.98,2.0086,1.10,1.9685,11912,4.075984685
absorbed,78,71,74,67,1.53,1.8976,0.85,1.8573,13814,4.140319452
absorbent,8,8,7,7,0.16,0.9542,0.10,0.9542,37671,4.576007149
absorber,3,3,3,3,0.06,0.6021,0.04,0.6021,48970,4.689930104
absorbers,8,6,8,6,0.16,0.9542,0.07,0.8451,38646,4.58710455
absorbing,23,21,21,19,0.45,1.3802,0.25,1.3424,25573,4.407781679
absorbs,25,25,24,24,0.49,1.4150,0.30,1.4150,24525,4.389609016
Absorbtion,3,1,1,1,0.06,0.6021,0.01,0.3010,52999,4.724267675
absorption,18,17,16,15,0.35,1.2788,0.20,1.2553,28290,4.451632947
abstain,26,19,18,17,0.51,1.4314,0.23,1.3010,24379,4.387015887
abstained,4,4,4,4,0.08,0.6990,0.05,0.6990,45736,4.660258179
abstaining,8,8,7,7,0.16,0.9542,0.10,0.9542,37672,4.576018677
abstains,2,2,2,2,0.04,0.4771,0.02,0.4771,53528,4.728581017
abstention,6,5,6,5,0.12,0.8451,0.06,0.7782,41981,4.623052779
abstinence,45,28,34,25,0.88,1.6628,0.33,1.4624,18685,4.271493102
abstinent,3,2,2,2,0.06,0.6021,0.02,0.4771,52060,4.716504164
abstract,111,82,104,79,2.18,2.0492,0.98,1.9191,11285,4.052501563
abstracted,3,3,3,3,0.06,0.6021,0.04,0.6021,48971,4.689938973
abstraction,15,11,13,11,0.29,1.2041,0.13,1.0792,30752,4.487873366
abstractions,5,4,5,4,0.10,0.7782,0.05,0.6990,44458,4.647949922
abstractly,2,2,2,2,0.04,0.4771,0.02,0.4771,53529,4.72858913
abstracts,7,7,5,5,0.14,0.9031,0.08,0.9031,39249,4.593828596
abstruse,3,3,3,3,0.06,0.6021,0.04,0.6021,48972,4.689947841
absurd,495,397,467,378,9.71,2.6955,4.73,2.5999,4479,3.651181062
absurdities,6,6,6,6,0.12,0.8451,0.07,0.8451,41019,4.612985069
absurdity,32,31,32,31,0.63,1.5185,0.37,1.5051,21909,4.340622555
absurdly,15,15,13,13,0.29,1.2041,0.18,1.2041,30256,4.480811512
abt,11,5,7,3,0.22,1.0792,0.06,0.7782,34887,4.542663625
Abu,131,29,0,0,2.57,2.1206,0.35,1.4771,10269,4.011528154
abundance,45,41,45,41,0.88,1.6628,0.49,1.6232,18563,4.268648165
abundant,29,26,28,25,0.57,1.4771,0.31,1.4314,23020,4.362105319
abundantly,21,21,21,21,0.41,1.3424,0.25,1.3424,26447,4.422376415
abuse,523,409,503,396,10.25,2.7193,4.88,2.6128,4309,3.634376494
abused,231,184,226,181,4.53,2.3655,2.19,2.2672,7312,3.864036183
abuser,16,16,16,16,0.31,1.2304,0.19,1.2304,29505,4.469895619
abusers,11,10,11,10,0.22,1.0792,0.12,1.0414,34179,4.533759352
abuses,25,23,21,21,0.49,1.4150,0.27,1.3802,24613,4.391164552
abusing,61,55,61,55,1.20,1.7924,0.66,1.7482,15789,4.198354625
abusive,83,81,81,79,1.63,1.9243,0.97,1.9138,13293,4.123623005
abut,6,5,6,5,0.12,0.8451,0.06,0.7782,41982,4.623063124
abutment,6,5,6,5,0.12,0.8451,0.06,0.7782,41983,4.623073469
abuts,2,2,2,2,0.04,0.4771,0.02,0.4771,53530,4.728597243
abuzz,2,2,2,2,0.04,0.4771,0.02,0.4771,53531,4.728605356
abysmal,21,18,20,18,0.41,1.3424,0.21,1.2788,26685,4.426267207
abyss,90,67,77,62,1.76,1.9590,0.80,1.8325,12736,4.10503305
abysses,2,2,2,2,0.04,0.4771,0.02,0.4771,53532,4.728613469
Abyssinia,8,5,0,0,0.16,0.9542,0.06,0.7782,38886,4.589793272
Abyssinian,9,7,3,1,0.18,1.0000,0.08,0.9031,37083,4.569174861
abyssus,4,4,4,4,0.08,0.6990,0.05,0.6990,45737,4.660267675
Ac,110,88,6,5,2.16,2.0453,1.05,1.9494,11342,4.054689643
acacia,8,7,4,3,0.16,0.9542,0.08,0.9031,38284,4.583017308
academe,2,2,2,2,0.04,0.4771,0.02,0.4771,53533,4.728621582
academia,12,12,10,10,0.24,1.1139,0.14,1.1139,32775,4.5155427
academic,238,181,215,172,4.67,2.3784,2.16,2.2601,7182,3.856245401
academically,11,10,9,8,0.22,1.0792,0.12,1.0414,34180,4.533772058
academics,35,31,33,30,0.69,1.5563,0.37,1.5051,21067,4.323602695
academies,7,7,7,7,0.14,0.9031,0.08,0.9031,39250,4.593839661
Academy,633,345,284,156,12.41,2.8021,4.11,2.5391,3747,3.573683693
Acadia,3,3,0,0,0.06,0.6021,0.04,0.6021,48973,4.689956709
Acapulco,82,56,0,0,1.61,1.9191,0.67,1.7559,13455,4.128883702
acc,8,8,4,4,0.16,0.9542,0.10,0.9542,37673,4.576030206
accede,7,7,7,7,0.14,0.9031,0.08,0.9031,39251,4.593850726
accelerant,28,13,25,13,0.55,1.4624,0.15,1.1461,23665,4.374106509
accelerate,65,53,55,45,1.27,1.8195,0.63,1.7324,15295,4.184549481
accelerated,49,42,43,38,0.96,1.6990,0.50,1.6335,17776,4.249834042
accelerates,5,5,5,5,0.10,0.7782,0.06,0.7782,43137,4.634849938
accelerating,45,38,38,34,0.88,1.6628,0.45,1.5911,18604,4.269606331
acceleration,44,37,38,33,0.86,1.6532,0.44,1.5798,18834,4.274942566
accelerator,69,47,66,45,1.35,1.8451,0.56,1.6812,14814,4.17067234
accelerators,4,3,3,2,0.08,0.6990,0.04,0.6021,47628,4.677862345
accent,621,447,595,438,12.18,2.7938,5.33,2.6513,3805,3.580354661
accents,58,56,57,55,1.14,1.7709,0.67,1.7559,16182,4.209032197
accentuate,18,12,15,10,0.35,1.2788,0.14,1.1139,28675,4.457503427
accentuated,2,2,2,2,0.04,0.4771,0.02,0.4771,53534,4.728629695
accentuates,4,4,4,4,0.08,0.6990,0.05,0.6990,45738,4.66027717
accept,2692,1861,2598,1820,52.78,3.4302,22.19,3.2700,1259,3.10002573
acceptable,269,243,256,235,5.27,2.4314,2.90,2.3874,6639,3.822102669
acceptance,161,140,150,134,3.16,2.2095,1.67,2.1492,9067,3.957463616
acceptances,2,2,2,2,0.04,0.4771,0.02,0.4771,53535,4.728637807
accepted,801,658,780,645,15.71,2.9042,7.84,2.8189,3174,3.501606922
accepting,206,195,182,174,4.04,2.3160,2.32,2.2923,7830,3.893761762
accepts,106,97,106,97,2.08,2.0294,1.16,1.9912,11603,4.064570292
access,1615,923,1483,879,31.67,3.2084,11.00,2.9657,1867,3.271144318
accessed,78,62,75,61,1.53,1.8976,0.74,1.7993,13850,4.141449773
accesses,2,2,2,2,0.04,0.4771,0.02,0.4771,53536,4.728645919
accessibility,2,2,2,2,0.04,0.4771,0.02,0.4771,53537,4.728654031
accessible,56,50,56,50,1.10,1.7559,0.60,1.7076,16548,4.218745512
accessing,53,47,40,36,1.04,1.7324,0.56,1.6812,17056,4.231877187
accession,6,3,6,3,0.12,0.8451,0.04,0.6021,42787,4.631311837
accessories,76,71,68,63,1.49,1.8865,0.85,1.8573,14011,4.146469133
accessorize,18,18,17,17,0.35,1.2788,0.21,1.2788,28201,4.450264509
accessorized,2,2,2,2,0.04,0.4771,0.02,0.4771,53538,4.728662143
accessorizing,6,6,6,6,0.12,0.8451,0.07,0.8451,41020,4.612995656
accessory,147,125,141,122,2.88,2.1703,1.49,2.1004,9556,3.980276141
accident,4146,2180,4061,2166,81.29,3.6177,25.99,3.3387,902,2.955206538
accidental,153,134,138,123,3.00,2.1875,1.60,2.1303,9341,3.970393372
accidentally,449,397,436,388,8.80,2.6532,4.73,2.5999,4764,3.677971753
accidently,11,10,11,10,0.22,1.0792,0.12,1.0414,34181,4.533784764
accidents,340,281,289,244,6.67,2.5328,3.35,2.4502,5714,3.756940236
acclaim,22,19,22,19,0.43,1.3617,0.23,1.3010,26127,4.417089545
acclaimed,20,20,20,20,0.39,1.3222,0.24,1.3222,27019,4.431669271
acclaims,2,2,2,2,0.04,0.4771,0.02,0.4771,53539,4.728670255
acclimate,8,8,8,8,0.16,0.9542,0.10,0.9542,37674,4.576041733
acclimated,10,8,9,8,0.20,1.0414,0.10,0.9542,35694,4.552595219
acclimating,3,3,3,3,0.06,0.6021,0.04,0.6021,48974,4.689965577
acclimatized,2,2,2,2,0.04,0.4771,0.02,0.4771,53540,4.728678367
accolades,9,9,9,9,0.18,1.0000,0.11,1.0000,36274,4.559595449
accommodate,109,106,109,106,2.14,2.0414,1.26,2.0294,11377,4.056027758
accommodated,5,5,5,5,0.10,0.7782,0.06,0.7782,43138,4.634860006
accommodates,3,3,3,3,0.06,0.6021,0.04,0.6021,48975,4.689974445
accommodating,36,32,36,32,0.71,1.5682,0.38,1.5185,20801,4.318084214
accommodation,48,45,44,42,0.94,1.6902,0.54,1.6628,17920,4.253338005
accommodations,85,81,83,79,1.67,1.9345,0.97,1.9138,13117,4.117834519
accomodate,6,4,6,4,0.12,0.8451,0.05,0.6990,42501,4.628399149
accompanied,105,98,101,95,2.06,2.0253,1.17,1.9956,11670,4.067070856
accompanies,13,13,13,13,0.25,1.1461,0.15,1.1461,31877,4.503477442
accompaniment,15,13,15,13,0.29,1.2041,0.15,1.1461,30541,4.484883253
accompanist,10,8,10,8,0.20,1.0414,0.10,0.9542,35695,4.552607386
accompany,242,213,233,209,4.75,2.3856,2.54,2.3304,7108,3.851747419
accompanying,47,45,43,41,0.92,1.6812,0.54,1.6628,18114,4.258014363
accompli,8,8,8,8,0.16,0.9542,0.10,0.9542,37675,4.576053261
accomplice,216,147,210,145,4.24,2.3365,1.75,2.1703,7621,3.882011962
accomplices,58,50,57,50,1.14,1.7709,0.60,1.7076,16235,4.210452293
accomplish,298,263,297,263,5.84,2.4757,3.14,2.4216,6210,3.7930916
accomplished,384,346,380,342,7.53,2.5855,4.12,2.5403,5263,3.72123337
accomplishes,7,7,7,7,0.14,0.9031,0.08,0.9031,39252,4.59386179
accomplishing,26,24,26,24,0.51,1.4314,0.29,1.3979,24201,4.383833312
accomplishment,96,87,95,86,1.88,1.9868,1.04,1.9445,12249,4.088100635
accomplishments,81,75,80,75,1.59,1.9138,0.89,1.8808,13499,4.130301597
accord,83,66,77,63,1.63,1.9243,0.79,1.8261,13339,4.125123273
accordance,81,66,81,66,1.59,1.9138,0.79,1.8261,13541,4.131650738
accorded,7,6,7,6,0.14,0.9031,0.07,0.8451,39992,4.601973124
According,2135,1571,1006,837,41.86,3.3296,18.73,3.1965,1511,3.179264464
accordingly,93,89,80,77,1.82,1.9731,1.06,1.9542,12486,4.096423331
accordion,67,46,63,44,1.31,1.8325,0.55,1.6721,15061,4.177853809
accordions,3,2,2,2,0.06,0.6021,0.02,0.4771,52061,4.716512506
accords,9,9,8,8,0.18,1.0000,0.11,1.0000,36275,4.559607421
accost,3,3,3,3,0.06,0.6021,0.04,0.6021,48976,4.689983312
accosted,34,30,33,30,0.67,1.5441,0.36,1.4914,21357,4.329540248
accosting,4,4,4,4,0.08,0.6990,0.05,0.6990,45739,4.660286665
account,2280,1386,2253,1375,44.71,3.3581,16.52,3.1421,1440,3.158362492
accountability,24,17,20,17,0.47,1.3979,0.20,1.2553,25304,4.403189179
accountable,72,65,72,65,1.41,1.8633,0.77,1.8195,14426,4.159145928
accountancy,3,2,2,2,0.06,0.6021,0.02,0.4771,52062,4.716520848
accountant,315,191,303,185,6.18,2.4997,2.28,2.2833,6013,3.779091204
accountants,55,47,52,45,1.08,1.7482,0.56,1.6812,16741,4.223781396
accounted,154,140,152,138,3.02,2.1903,1.67,2.1492,9296,3.968296115
accounting,230,179,186,151,4.51,2.3636,2.13,2.2553,7334,3.865340906
accounts,534,391,521,385,10.47,2.7284,4.66,2.5933,4237,3.627058464
accoutred,2,2,2,2,0.04,0.4771,0.02,0.4771,53541,4.728686478
accoutrement,6,5,6,5,0.12,0.8451,0.06,0.7782,41984,4.623083813
accoutrements,6,6,5,5,0.12,0.8451,0.07,0.8451,41021,4.613006243
Accra,4,3,0,0,0.08,0.6990,0.04,0.6021,47629,4.677871463
accreditation,9,6,8,6,0.18,1.0000,0.07,0.8451,37288,4.57156909
accredited,16,13,16,13,0.31,1.2304,0.15,1.1461,29888,4.475496855
accrual,2,2,2,2,0.04,0.4771,0.02,0.4771,53542,4.72869459
accrue,4,4,4,4,0.08,0.6990,0.05,0.6990,45740,4.66029616
accrued,13,12,12,12,0.25,1.1461,0.14,1.1139,32092,4.506396784
accruing,2,2,2,2,0.04,0.4771,0.02,0.4771,53543,4.728702701
accumulate,29,27,28,27,0.57,1.4771,0.32,1.4472,22977,4.361293324
accumulated,39,38,38,37,0.76,1.6021,0.45,1.5911,19923,4.299354735
accumulates,11,11,11,11,0.22,1.0792,0.13,1.0792,33852,4.529584332
accumulating,18,18,17,17,0.35,1.2788,0.21,1.2788,28202,4.450279908
accumulation,13,13,13,13,0.25,1.1461,0.15,1.1461,31878,4.503491066
accumulative,3,2,3,2,0.06,0.6021,0.02,0.4771,52063,4.71652919
